Stationid,Stationname En,Exitid,Exitname Zh Tw,Exitposition Positionlon,Exitposition Positionlat,layer,stationid,exitid,groovy code,,,"exit """
BL14,Zhongxiao Xinsheng,4,忠孝新生站出口4,121.533213,25.042458,,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_4,"exit ""TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_4"" with { short_name ""4"" coords { lat 121.533213; lon 25.042458 } layer 0 }",,,
BL14,Zhongxiao Xinsheng,5,忠孝新生站出口5,121.532232,25.041214,,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_5,"exit ""TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_5"" with { short_name ""5"" coords { lat 121.532232; lon 25.041214 } layer 0 }",,,
BL14,Zhongxiao Xinsheng,6,忠孝新生站出口6,121.533068,25.040791,,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_6,"exit ""TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_6"" with { short_name ""6"" coords { lat 121.533068; lon 25.040791 } layer 0 }",,,
BL14,Zhongxiao Xinsheng,7,忠孝新生站出口7,121.533068,25.041729,,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng,TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_7,"exit ""TaiwanStation_ZhongXiaoXinShengZhongxiaoXinsheng_7"" with { short_name ""7"" coords { lat 121.533068; lon 25.041729 } layer 0 }",,,
BL16,Zhongxiao Dunhua,1,忠孝敦化站出口1,121.550578,25.041642,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_1,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_1"" with { short_name ""1"" coords { lat 121.550578; lon 25.041642 } layer 0 }",,,
BL16,Zhongxiao Dunhua,2,忠孝敦化站出口2,121.551694,25.041632,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_2,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_2"" with { short_name ""2"" coords { lat 121.551694; lon 25.041632 } layer 0 }",,,
BL16,Zhongxiao Dunhua,3,忠孝敦化站出口3,121.551586,25.04134,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_3,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_3"" with { short_name ""3"" coords { lat 121.551586; lon 25.04134 } layer 0 }",,,
BL16,Zhongxiao Dunhua,4,忠孝敦化站出口4,121.550567,25.04135,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_4,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_4"" with { short_name ""4"" coords { lat 121.550567; lon 25.04135 } layer 0 }",,,
BL16,Zhongxiao Dunhua,5,忠孝敦化站出口5,121.549824,25.041238,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_5,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_5"" with { short_name ""5"" coords { lat 121.549824; lon 25.041238 } layer 0 }",,,
BL16,Zhongxiao Dunhua,6,忠孝敦化站出口6,121.549174,25.041029,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_6,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_6"" with { short_name ""6"" coords { lat 121.549174; lon 25.041029 } layer 0 }",,,
BL16,Zhongxiao Dunhua,7,忠孝敦化站出口7,121.549913,25.041661,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_7,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_7"" with { short_name ""7"" coords { lat 121.549913; lon 25.041661 } layer 0 }",,,
BL16,Zhongxiao Dunhua,8,忠孝敦化站出口8,121.549194,25.041928,,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua,TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_8,"exit ""TaiwanStation_ZhongXiaoDunHuaXhongxiaoDunhua_8"" with { short_name ""8"" coords { lat 121.549194; lon 25.041928 } layer 0 }",,,
